#Time,Head/Temperature/Sensor/,LShoulderPitch/Temperature/Sensor/,LShoulderPitch/ElectricCurrent/Sensor/,LShoulderPitch/Position/Actuator/,LShoulderPitch/Position/Sensor/,LShoulderPitch/Hardness/Actuator/,RShoulderPitch/Temperature/Sensor/,RShoulderPitch/ElectricCurrent/Sensor/,RShoulderPitch/Position/Actuator/,RShoulderPitch/Position/Sensor/,RShoulderPitch/Hardness/Actuator/,LShoulderRoll/Temperature/Sensor/,LShoulderRoll/ElectricCurrent/Sensor/,LShoulderRoll/Position/Actuator/,LShoulderRoll/Position/Sensor/,LShoulderRoll/Hardness/Actuator/,RShoulderRoll/Temperature/Sensor/,RShoulderRoll/ElectricCurrent/Sensor/,RShoulderRoll/Position/Actuator/,RShoulderRoll/Position/Sensor/,RShoulderRoll/Hardness/Actuator/
1,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.224,1.894,1.87606,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
13,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
25,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.256,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
38,8.96831e-44,50,0.224,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00613594,1,39,0.16,-0.00872665,-0.0107379,1
49,8.96831e-44,50,0.224,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
62,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
73,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
86,8.96831e-44,50,0.224,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
97,8.96831e-44,50,0.224,1.894,1.88986,1,48,0.256,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
110,8.96831e-44,50,0.224,1.894,1.88986,1,48,0.288,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
121,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.256,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
134,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.256,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
146,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.256,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
157,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.128,0.00872665,0.00613594,1,39,0.192,-0.00872665,-0.0107379,1
170,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.224,1.894,1.87759,1,39,0.16,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
182,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.224,1.894,1.87913,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
194,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.224,1.894,1.87913,1,39,0.16,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
206,8.96831e-44,50,0.256,1.894,1.88986,1,48,0.256,1.894,1.87913,1,39,0.16,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
219,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.32,1.894,1.88066,1,39,0.16,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
230,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
243,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.87913,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
254,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
267,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
279,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
290,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
303,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
315,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.32,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.16,-0.00872665,-0.0107379,1
327,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.32,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
338,8.96831e-44,50,0.288,1.894,1.88986,1,48,0.352,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
351,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.32,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
363,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.288,1.894,1.87913,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
375,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.288,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
387,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.32,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
399,8.96831e-44,50,0.32,1.894,1.88986,1,48,0.256,1.894,1.88066,1,39,0.128,0.00872665,0.00766993,1,39,0.192,-0.00872665,-0.0107379,1
411,8.96831e-44,50,0.32,1.89342,1.88986,1,48,0.32,1.89342,1.88066,1,39,0.128,0.00893937,0.00766993,1,39,0.192,-0.00893937,-0.0107379,1
423,8.96831e-44,50,0.32,1.89283,1.88986,1,48,0.224,1.89283,1.88219,1,39,0.128,0.00915209,0.00766993,1,39,0.192,-0.00915209,-0.0107379,1
435,8.96831e-44,50,0.288,1.89065,1.88986,1,48,0.224,1.89065,1.88219,1,39,0,0.00994608,0.00766993,1,39,0.192,-0.00994608,-0.0107379,1
448,8.96831e-44,50,0.224,1.88847,1.88986,1,48,0.224,1.88847,1.88219,1,39,0,0.0107401,0.00766993,1,39,0.16,-0.0107401,-0.0107379,1
459,8.96831e-44,50,0,1.8841,1.88986,1,48,0,1.8841,1.88219,1,39,0.096,0.0123272,0.00766993,1,39,0,-0.0123272,-0.0107379,1
472,8.96831e-44,50,0,1.87804,1.88986,1,48,0.096,1.87804,1.88373,1,39,0.032,0.0145337,0.00766993,1,39,0,-0.0145337,-0.0107379,1
483,8.96831e-44,50,0.352,1.87198,1.88986,1,48,0.064,1.87198,1.87913,1,39,0.32,0.0167403,0.00766993,1,39,0,-0.0167403,-0.0107379,1
496,8.96831e-44,50,0.16,1.86381,1.88986,1,48,0.064,1.86381,1.87606,1,39,0,0.0197116,0.00766993,1,39,0.096,-0.0197116,-0.0138059,1
507,8.96831e-44,50,0.224,1.85564,1.8868,1,48,0.128,1.85564,1.87146,1,39,0.288,0.0226829,0.00920391,1,39,0.096,-0.0226829,-0.0153399,1
520,8.96831e-44,50,0.288,1.84517,1.88066,1,48,0.192,1.84517,1.86532,1,39,0.096,0.0264941,0.0153399,1,39,0.096,-0.0264941,-0.0168738,1
531,8.96831e-44,50,0.128,1.83204,1.87452,1,48,0.128,1.83204,1.85458,1,39,0.16,0.0312719,0.0184078,1,39,0.064,-0.0312719,-0.0214758,1
544,8.96831e-44,50,0.288,1.81992,1.86685,1,48,0.064,1.81992,1.84538,1,39,0.128,0.0356823,0.0214758,1,39,0.064,-0.0356823,-0.0245438,1
556,8.96831e-44,50,0.32,1.80577,1.85612,1,48,0.16,1.80577,1.83004,1,39,0.096,0.0408302,0.0260777,1,39,0.096,-0.0408302,-0.0291457,1
